Name,Symbol,Industry Group,Industry
RPP Infra Proj.,RPPINFRA,Construction,Civil Construction
Wise Travel,WTICAB,Transport Services,Road Transport
Esab India,ESABINDIA,Industrial Products,Other Industrial Products
Last Mile Enter.,,Finance,Non Banking Financial Company (NBFC)
P & G Health Ltd,PGHL,Pharmaceuticals & Biotechnology,Pharmaceuticals
NRB Bearings,NRBBEARING,Auto Components,Auto Components & Equipments
Jindal Poly Film,JINDALPOLY,Industrial Products,Packaging
M T N L,MTNL,Telecom - Services,Telecom - Cellular & Fixed line services
Guj Inds. Power,GIPCL,Power,Power Generation
Cyient DLM,CYIENTDLM,Industrial Manufacturing,Industrial Products
Nelcast,NELCAST,Industrial Products,Castings & Forgings
Mawana Sugars,MAWANASUG,Agricultural Food & other Products,Sugar
Bhartiya Intl.,BIL,Consumer Durables,Leather And Leather Products
AYM Syntex,AYMSYNTEX,Textiles & Apparels,Other Textile Products
Banswara Syntex,BANSWRAS,Textiles & Apparels,Other Textile Products
Rajputana Indu.,RAJINDLTD,Industrial Products,"Aluminium, Copper & Zinc Products"
Everest Kanto,EKC,Industrial Manufacturing,Industrial Products
Krystal Integrat,KRYSTAL,Commercial Services & Supplies,Diversified Commercial Services
S P Apparels,SPAL,Textiles & Apparels,Garments & Apparels
Indrapr.Medical,INDRAMEDCO,Healthcare Services,Hospital
POCL Enterprises,,Chemicals & Petrochemicals,Commodity Chemicals
M & B Engineer.,MBEL,Construction,Civil Construction
GHCL Textiles,GHCLTEXTIL,Textiles & Apparels,Other Textile Products
Sakuma Exports,SAKUMA,Commercial Services & Supplies,Trading & Distributors
Hariom Pipe,HARIOMPIPE,Industrial Products,Iron & Steel Products
Ashiana Housing,ASHIANA,Realty,"Residential, Commercial Projects"
DEE Development,DEEDEV,Industrial Manufacturing,Industrial Products
NACL Industries,NACLIND,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Prudent Corp.,PRUDENT,Capital Markets,Financial Products Distributor
United Foodbrands,UFBL,Leisure Services,Restaurants
Bedmutha Indus.,BEDMUTHA,Industrial Products,Iron & Steel Products
Dynamic Cables,DYCL,Industrial Products,Cables - Electricals
Corona Remedies,CORONA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sanghvi Movers,SANGHVIMOV,Commercial Services & Supplies,Diversified Commercial Services
Indian Hume Pipe,INDIANHUME,Industrial Manufacturing,Industrial Products
Munjal Showa,MUNJALSHOW,Auto Components,Auto Components & Equipments
Omaxe,OMAXE,Realty,"Residential, Commercial Projects"
Vishal Fabrics,VISHAL,Textiles & Apparels,Garments & Apparels
KFin Technolog.,KFINTECH,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
Apollo Pipes,APOLLOPIPE,Industrial Products,Plastic Products - Industrial
Sukhjit Starch,SUKHJITS,Agricultural Food & other Products,Other Agricultural Products
Divine Power,DPEL,Industrial Products,Cables - Electricals
Indostar Capital,INDOSTAR,Finance,Non Banking Financial Company (NBFC)
Health X Platform,HEALTHX,Healthcare Services,Healthcare Service Provider
Aurionpro Sol.,AURIONPRO,IT - Software,Computers - Software & Consulting
Samhi Hotels,SAMHI,Leisure Services,Hotels & Resorts
Data Pattern,DATAPATTNS,Aerospace & Defense,Aerospace & Defense
John Cockerill,COCKERILL,Industrial Manufacturing,Industrial Products
Ester Industries,ESTER,Industrial Products,Packaging
Wakefit Innovati,WAKEFIT,Consumer Durables,"Furniture, Home Furnishing"
Arisinfra Solu.,ARIS,Other Construction Materials,Other Construction Materials
AXISCADES Tech.,AXISCADES,Aerospace & Defense,Aerospace & Defense
NCL Industries,NCLIND,Cement & Cement Products,Cement & Cement Products
Embassy Develop,EMBDL,Realty,"Residential, Commercial Projects"
B.R.Goyal Infra.,,Construction,Civil Construction
IFB Agro Inds.,IFBAGRO,Beverages,Breweries & Distilleries
Bhansali Engg.,BEPL,Chemicals & Petrochemicals,Specialty Chemicals
SEPC,SEPC,Construction,Civil Construction
Shankara Building,SHANKARA,Retailing,Speciality Retail
Centum Electron,CENTUM,Industrial Manufacturing,Industrial Products
Nahar Indl. Ent.,NAHARINDUS,Textiles & Apparels,Other Textile Products
Dynacons Sys.,DSSL,IT - Services,IT Enabled Services
Sunteck Realty,SUNTECK,Realty,"Residential, Commercial Projects"
Indigo Paints,INDIGOPNTS,Consumer Durables,Paints
Beekay Steel Ind,BEEKAY,Industrial Products,Iron & Steel Products
JNK,JNKINDIA,Industrial Manufacturing,Industrial Products
Asian Energy,ASIANENE,Oil,Oil Equipment & Services
Symphony,SYMPHONY,Consumer Durables,Household Appliances
Purv Flexi,PURVFLEXI,Industrial Products,Plastic Products - Industrial
