symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
SOUTHWEST.NS,254.11000061035156,236.65166600545248,235.45999908447266,226.0343994140625,198.1938665262858,182.94989978790284,243.97226760960515,121.0,273.239990234375,True,True,True,True,True,True,True,True,True,82.52406147268685,red,217.82817967679043,False,Commercial Services & Supplies,Diversified Commercial Services,94.96047430830039,True,True,758.01,8.78,345356,1.1577
UNIPARTS.NS,563.4500122070312,547.2875010172526,522.1888885498047,502.83600158691405,482.588125,456.7028561401367,545.3441142887378,305.3782582953126,581.9500122070312,True,True,True,True,True,True,True,True,False,81.48414710816785,green,131.86156067941454,False,Auto Components,Auto Components & Equipments,94.91106719367589,True,True,2541.23,5.0,88677,0.1966
SJS.NS,1980.300048828125,1961.8249918619792,1792.4611070421006,1740.4219946289063,1712.152666015625,1625.800499267578,1943.9738226811319,1063.0001556549378,2033.9000244140625,True,True,True,True,True,True,True,True,False,81.27278324469496,noise,50.388198420807115,False,Auto Components,Auto Components & Equipments,94.81225296442688,True,True,6336.32,24.84,125422,0.392
RPTECH.NS,545.5,528.3999989827474,470.0833333333333,435.8020001220703,377.6533331298828,358.4795782470703,529.5638968041001,274.03069500955513,560.0,True,True,True,True,True,True,True,True,False,79.90185530471092,noise,55.59004191404537,False,IT - Hardware,Computers Hardware & Equipments,94.61462450592886,True,True,3594.83,11.08,203090,0.3082
UNIVCABLES.NS,1012.0499877929688,1030.574986775716,890.5972188313802,819.37099609375,799.8549971516927,780.6226287841797,1003.6656440375209,564.10714342525,1234.0,True,True,True,True,True,True,True,True,False,76.82017666633077,noise,57.64440848865826,False,Industrial Products,Cables - Electricals,94.46640316205533,True,True,3511.35,16.71,165113,0.4759
MANINDS.NS,571.2000122070312,550.8500010172526,510.4249996609158,471.73100036621094,424.7280004882812,420.6915007019043,558.5182321574321,302.04998779296875,606.4000244140625,True,True,True,True,True,True,True,True,False,74.27917992586765,green,228.7397966104436,False,Industrial Products,Iron & Steel Products,94.1699604743083,True,True,4284.55,49.29,862913,1.1504
APARINDS.NS,12782.0,12626.333333333334,11844.291666666666,11233.55,9659.806666666667,9353.3275,12595.833293829204,6801.0,13149.0,True,True,True,True,True,True,True,True,False,72.88794492373228,noise,58.12131760353127,False,Electrical Equipment,Other Electrical Equipment,94.02173913043478,True,True,51343.14,158.91,124322,0.3095
PARIN.NS,669.4000244140625,653.6833343505859,637.4208306206597,640.4659973144531,618.0623347981771,578.69,658.5163991665755,311.6499938964844,725.0,True,True,True,True,True,True,True,True,False,72.52577948816044,green,241.24333101368595,False,Consumer Durables,"Furniture, Home Furnishing",93.97233201581028,True,True,744.24,1.23,18425,0.1657
HFCL.NS,148.2100067138672,145.3108342488607,113.12638960944281,101.27920043945312,80.31466712951661,78.55946634292603,141.9050750814558,59.81999969482422,155.3000030517578,True,True,True,True,True,True,True,True,False,72.50408656629685,noise,84.66326493564176,False,Telecom - Services,Telecom - Infrastructure,93.92292490118577,True,True,22680.04,687.44,46382759,3.031
BSE.NS,4193.7998046875,4039.8916625976562,3618.5333387586807,3400.390009765625,2950.656007486979,2781.627501220703,4072.8309167152274,2021.5,4298.89990234375,True,True,True,True,True,True,True,True,False,70.3527158616571,noise,57.28730662312569,False,Capital Markets,Exchange and Data Platform,93.82411067193675,True,True,170322.4,1815.36,4328677,1.0658
